t_unix,date_utc,yes_price
1756166402,2025-08-26 00:00,0.215
1756167003,2025-08-26 00:10,0.21
1756167604,2025-08-26 00:20,0.2
1756168205,2025-08-26 00:30,0.175
1756168804,2025-08-26 00:40,0.175
1756169402,2025-08-26 00:50,0.175
1756170010,2025-08-26 01:00,0.175
1756170603,2025-08-26 01:10,0.17
1756171203,2025-08-26 01:20,0.165
1756171804,2025-08-26 01:30,0.16
1756172402,2025-08-26 01:40,0.195
1756173003,2025-08-26 01:50,0.19
1756173604,2025-08-26 02:00,0.185
1756174205,2025-08-26 02:10,0.175
1756174803,2025-08-26 02:20,0.17
1756175405,2025-08-26 02:30,0.165
1756176003,2025-08-26 02:40,0.195
1756176604,2025-08-26 02:50,0.195
1756177209,2025-08-26 03:00,0.195
1756177226,2025-08-26 03:00,0.195
1756177803,2025-08-26 03:10,0.185
1756178402,2025-08-26 03:20,0.185
1756179002,2025-08-26 03:30,0.175
1756179602,2025-08-26 03:40,0.17
1756180202,2025-08-26 03:50,0.165
1756180802,2025-08-26 04:00,0.195
1756181404,2025-08-26 04:10,0.19
1756182004,2025-08-26 04:20,0.185
1756182605,2025-08-26 04:30,0.175
1756183204,2025-08-26 04:40,0.17
1756183804,2025-08-26 04:50,0.165
1756184413,2025-08-26 05:00,0.155
1756185003,2025-08-26 05:10,0.155
1756185604,2025-08-26 05:20,0.195
1756186205,2025-08-26 05:30,0.185
1756186803,2025-08-26 05:40,0.185
1756187402,2025-08-26 05:50,0.175
1756188005,2025-08-26 06:00,0.17
1756188603,2025-08-26 06:10,0.165
1756189203,2025-08-26 06:20,0.155
1756189807,2025-08-26 06:30,0.15
1756190404,2025-08-26 06:40,0.15
1756191002,2025-08-26 06:50,0.15
1756191602,2025-08-26 07:00,0.15
1756192203,2025-08-26 07:10,0.205
1756192802,2025-08-26 07:20,0.2
1756193404,2025-08-26 07:30,0.195
1756194004,2025-08-26 07:40,0.185
1756194602,2025-08-26 07:50,0.18
1756195205,2025-08-26 08:00,0.175
1756195802,2025-08-26 08:10,0.165
1756196402,2025-08-26 08:20,0.165
1756197007,2025-08-26 08:30,0.205
1756197603,2025-08-26 08:40,0.195
1756198203,2025-08-26 08:50,0.195
1756198817,2025-08-26 09:00,0.195
1756199404,2025-08-26 09:10,0.19
1756200002,2025-08-26 09:20,0.185
1756200606,2025-08-26 09:30,0.175
1756201203,2025-08-26 09:40,0.17
1756201803,2025-08-26 09:50,0.165
1756202404,2025-08-26 10:00,0.155
1756203004,2025-08-26 10:10,0.155
1756203602,2025-08-26 10:20,0.205
1756204205,2025-08-26 10:30,0.195
1756204804,2025-08-26 10:40,0.195
1756205403,2025-08-26 10:50,0.185
1756206010,2025-08-26 11:00,0.18
1756206604,2025-08-26 11:10,0.175
1756207203,2025-08-26 11:20,0.165
1756207807,2025-08-26 11:30,0.165
1756208404,2025-08-26 11:40,0.205
1756209004,2025-08-26 11:50,0.195
1756209608,2025-08-26 12:00,0.19
1756210204,2025-08-26 12:10,0.185
1756210804,2025-08-26 12:20,0.175
1756211405,2025-08-26 12:30,0.175
1756212004,2025-08-26 12:40,0.17
1756212604,2025-08-26 12:50,0.17
1756213209,2025-08-26 13:00,0.17
1756213802,2025-08-26 13:10,0.16
1756214404,2025-08-26 13:20,0.155
1756215006,2025-08-26 13:30,0.15
1756215602,2025-08-26 13:40,0.165
1756216203,2025-08-26 13:50,0.165
1756216817,2025-08-26 14:00,0.16
1756217403,2025-08-26 14:10,0.155
1756218002,2025-08-26 14:20,0.15
1756218608,2025-08-26 14:30,0.14
1756219202,2025-08-26 14:40,0.14
1756219803,2025-08-26 14:50,0.21
1756220416,2025-08-26 15:00,0.21
1756221002,2025-08-26 15:10,0.205
1756221602,2025-08-26 15:20,0.2
1756222203,2025-08-26 15:30,0.19
1756222804,2025-08-26 15:40,0.185
1756223402,2025-08-26 15:50,0.18
1756224009,2025-08-26 16:00,0.17
1756224602,2025-08-26 16:10,0.17
1756225203,2025-08-26 16:20,0.16
1756225805,2025-08-26 16:30,0.155
1756226402,2025-08-26 16:40,0.15
1756227007,2025-08-26 16:50,0.205
1756227610,2025-08-26 17:00,0.2
1756228207,2025-08-26 17:10,0.195
1756228806,2025-08-26 17:20,0.185
1756229405,2025-08-26 17:30,0.18
1756230006,2025-08-26 17:40,0.175
1756230614,2025-08-26 17:50,0.165
1756231216,2025-08-26 18:00,0.165
1756231804,2025-08-26 18:10,0.205
1756232404,2025-08-26 18:20,0.2
1756233002,2025-08-26 18:30,0.195
1756233612,2025-08-26 18:40,0.19
1756234214,2025-08-26 18:50,0.19
1756234817,2025-08-26 19:00,0.19
1756235413,2025-08-26 19:10,0.185
1756236003,2025-08-26 19:20,0.18
1756236606,2025-08-26 19:30,0.175
1756237204,2025-08-26 19:40,0.165
1756237814,2025-08-26 19:50,0.165
1756238409,2025-08-26 20:00,0.155
1756239002,2025-08-26 20:10,0.15
1756239605,2025-08-26 20:20,0.145
1756240210,2025-08-26 20:30,0.135
1756240814,2025-08-26 20:40,0.13
1756241413,2025-08-26 20:50,0.125
1756242015,2025-08-26 21:00,0.125
1756242614,2025-08-26 21:10,0.12
1756243208,2025-08-26 21:20,0.115
1756243814,2025-08-26 21:30,0.105
1756244402,2025-08-26 21:40,0.105
1756245005,2025-08-26 21:50,0.095
1756245613,2025-08-26 22:00,0.09
1756246214,2025-08-26 22:10,0.085
1756246809,2025-08-26 22:20,0.075
1756247402,2025-08-26 22:30,0.07
1756248006,2025-08-26 22:40,0.065
1756248614,2025-08-26 22:50,0.055
1756249205,2025-08-26 23:00,0.055
1756249804,2025-08-26 23:10,0.205
1756250414,2025-08-26 23:20,0.195
1756251016,2025-08-26 23:30,0.195
1756251637,2025-08-26 23:40,0.185
1756252203,2025-08-26 23:50,0.18
1756252808,2025-08-27 00:00,0.175
1756253404,2025-08-27 00:10,0.165
1756254005,2025-08-27 00:20,0.16
1756254602,2025-08-27 00:30,0.155
1756255203,2025-08-27 00:40,0.15
1756255810,2025-08-27 00:50,0.15
1756256403,2025-08-27 01:00,0.15
1756257002,2025-08-27 01:10,0.2
1756257603,2025-08-27 01:20,0.2
1756258202,2025-08-27 01:30,0.19
1756258804,2025-08-27 01:40,0.18
1756259403,2025-08-27 01:50,0.18
1756260002,2025-08-27 02:00,0.17
1756260611,2025-08-27 02:10,0.165
1756261204,2025-08-27 02:20,0.16
1756261806,2025-08-27 02:30,0.15
1756262407,2025-08-27 02:40,0.15
1756263011,2025-08-27 02:50,0.2
1756263609,2025-08-27 03:00,0.2
1756264209,2025-08-27 03:10,0.195
1756264804,2025-08-27 03:20,0.175
1756265403,2025-08-27 03:30,0.18
1756266007,2025-08-27 03:40,0.18
1756266603,2025-08-27 03:50,0.15
1756267213,2025-08-27 04:00,0.21
1756267806,2025-08-27 04:10,0.21
1756268411,2025-08-27 04:20,0.21
1756269003,2025-08-27 04:30,0.21
1756269614,2025-08-27 04:40,0.21
1756270202,2025-08-27 04:50,0.21
1756270805,2025-08-27 05:00,0.21
1756271409,2025-08-27 05:10,0.21
1756272008,2025-08-27 05:20,0.21
1756272609,2025-08-27 05:30,0.21
1756273207,2025-08-27 05:40,0.21
1756273808,2025-08-27 05:50,0.21
1756274419,2025-08-27 06:00,0.21
1756275011,2025-08-27 06:10,0.21
1756275609,2025-08-27 06:20,0.21
1756276204,2025-08-27 06:30,0.48
1756276805,2025-08-27 06:40,0.475
1756277404,2025-08-27 06:50,0.475
1756278008,2025-08-27 07:00,0.485
1756278615,2025-08-27 07:10,0.49
1756279211,2025-08-27 07:20,0.49
1756279805,2025-08-27 07:30,0.49
1756280408,2025-08-27 07:40,0.495
1756281010,2025-08-27 07:50,0.51
1756281617,2025-08-27 08:00,0.51
1756282211,2025-08-27 08:10,0.51
1756282808,2025-08-27 08:20,0.7
1756283417,2025-08-27 08:30,0.72
1756284013,2025-08-27 08:40,0.72
1756284608,2025-08-27 08:50,0.715
1756285207,2025-08-27 09:00,0.715
1756285824,2025-08-27 09:10,0.715
1756285843,2025-08-27 09:10,0.715
1756286407,2025-08-27 09:20,0.71
1756287010,2025-08-27 09:30,0.71
1756287605,2025-08-27 09:40,0.71
1756288203,2025-08-27 09:50,0.705
1756288816,2025-08-27 10:00,0.705
1756289402,2025-08-27 10:10,0.7
1756290006,2025-08-27 10:20,0.7
1756290618,2025-08-27 10:30,0.7
1756291213,2025-08-27 10:40,0.695
1756291806,2025-08-27 10:50,0.695
1756292406,2025-08-27 11:00,0.695
1756293007,2025-08-27 11:10,0.69
1756293609,2025-08-27 11:20,0.465
1756294209,2025-08-27 11:30,0.465
1756294803,2025-08-27 11:40,0.465
1756295413,2025-08-27 11:50,0.465
1756296024,2025-08-27 12:00,0.465
1756296618,2025-08-27 12:10,0.465
1756297215,2025-08-27 12:20,0.465
1756297814,2025-08-27 12:30,0.465
1756298408,2025-08-27 12:40,0.465
1756299009,2025-08-27 12:50,0.465
1756299615,2025-08-27 13:00,0.465
1756300210,2025-08-27 13:10,0.465
1756300803,2025-08-27 13:20,0.465
1756301418,2025-08-27 13:30,0.465
1756302013,2025-08-27 13:40,0.465
1756302610,2025-08-27 13:50,0.465
1756303211,2025-08-27 14:00,0.465
1756303808,2025-08-27 14:10,0.465
1756304404,2025-08-27 14:20,0.465
1756305014,2025-08-27 14:30,0.465
1756305603,2025-08-27 14:40,0.465
1756306202,2025-08-27 14:50,0.465
1756306821,2025-08-27 15:00,0.465
1756307414,2025-08-27 15:10,0.44
1756308003,2025-08-27 15:20,0.465
1756308610,2025-08-27 15:30,0.465
1756309204,2025-08-27 15:40,0.465
1756309807,2025-08-27 15:50,0.465
1756310420,2025-08-27 16:00,0.465
1756311013,2025-08-27 16:10,0.545
1756311615,2025-08-27 16:20,0.465
1756312205,2025-08-27 16:30,0.465
1756312815,2025-08-27 16:40,0.465
1756313412,2025-08-27 16:50,0.465
1756314015,2025-08-27 17:00,0.55
1756314608,2025-08-27 17:10,0.55
1756315215,2025-08-27 17:20,0.55
1756315806,2025-08-27 17:30,0.55
1756316403,2025-08-27 17:40,0.555
1756317014,2025-08-27 17:50,0.55
1756317618,2025-08-27 18:00,0.51
1756318212,2025-08-27 18:10,0.55
1756318803,2025-08-27 18:20,0.55
1756319407,2025-08-27 18:30,0.55
1756320005,2025-08-27 18:40,0.55
1756320603,2025-08-27 18:50,0.55
1756321213,2025-08-27 19:00,0.55
1756321806,2025-08-27 19:10,0.57
1756322413,2025-08-27 19:20,0.55
1756323004,2025-08-27 19:30,0.55
1756323603,2025-08-27 19:40,0.55
1756324216,2025-08-27 19:50,0.55
1756324814,2025-08-27 20:00,0.575
1756325403,2025-08-27 20:10,0.55
1756326009,2025-08-27 20:20,0.55
1756326613,2025-08-27 20:30,0.55
1756327211,2025-08-27 20:40,0.55
1756327807,2025-08-27 20:50,0.55
1756328413,2025-08-27 21:00,0.585
1756329010,2025-08-27 21:10,0.585
1756329609,2025-08-27 21:20,0.585
1756330208,2025-08-27 21:30,0.585
1756330815,2025-08-27 21:40,0.585
1756331402,2025-08-27 21:50,0.505
1756332002,2025-08-27 22:00,0.585
1756332615,2025-08-27 22:10,0.585
1756333215,2025-08-27 22:20,0.585
1756333807,2025-08-27 22:30,0.585
1756334415,2025-08-27 22:40,0.585
1756335014,2025-08-27 22:50,0.585
1756335602,2025-08-27 23:00,0.585
1756336206,2025-08-27 23:10,0.585
1756336815,2025-08-27 23:20,0.59
1756337411,2025-08-27 23:30,0.59
1756338003,2025-08-27 23:40,0.59
1756338616,2025-08-27 23:50,0.59
1756339208,2025-08-28 00:00,0.48
1756339804,2025-08-28 00:10,0.48
1756340402,2025-08-28 00:20,0.48
1756341004,2025-08-28 00:30,0.48
1756341604,2025-08-28 00:40,0.48
1756342202,2025-08-28 00:50,0.48
1756342808,2025-08-28 01:00,0.48
1756343405,2025-08-28 01:10,0.485
1756344002,2025-08-28 01:20,0.485
1756344607,2025-08-28 01:30,0.485
1756345204,2025-08-28 01:40,0.485
1756345810,2025-08-28 01:50,0.485
1756346402,2025-08-28 02:00,0.485
1756347011,2025-08-28 02:10,0.485
1756347602,2025-08-28 02:20,0.485
1756348203,2025-08-28 02:30,0.485
1756348802,2025-08-28 02:40,0.485
1756349412,2025-08-28 02:50,0.485
1756350016,2025-08-28 03:00,0.485
1756350610,2025-08-28 03:10,0.485
1756351208,2025-08-28 03:20,0.485
1756351804,2025-08-28 03:30,0.51
1756352411,2025-08-28 03:40,0.51
1756353016,2025-08-28 03:50,0.51
1756353605,2025-08-28 04:00,0.51
1756354202,2025-08-28 04:10,0.515
1756354811,2025-08-28 04:20,0.51
1756355411,2025-08-28 04:30,0.51
1756356002,2025-08-28 04:40,0.51
1756356611,2025-08-28 04:50,0.505
1756357203,2025-08-28 05:00,0.51
1756357809,2025-08-28 05:10,0.51
1756358411,2025-08-28 05:20,0.51
1756359008,2025-08-28 05:30,0.51
1756359604,2025-08-28 05:40,0.525
1756360206,2025-08-28 05:50,0.51
1756360814,2025-08-28 06:00,0.51
1756361410,2025-08-28 06:10,0.51
1756362016,2025-08-28 06:20,0.51
1756362617,2025-08-28 06:30,0.51
1756363205,2025-08-28 06:40,0.51
1756363805,2025-08-28 06:50,0.51
1756364415,2025-08-28 07:00,0.51
1756365012,2025-08-28 07:10,0.51
1756365602,2025-08-28 07:20,0.51
1756366216,2025-08-28 07:30,0.51
1756366809,2025-08-28 07:40,0.51
1756367405,2025-08-28 07:50,0.51
1756368008,2025-08-28 08:00,0.51
1756368608,2025-08-28 08:10,0.51
1756369213,2025-08-28 08:20,0.51
1756369805,2025-08-28 08:30,0.51
1756370402,2025-08-28 08:40,0.545
1756371010,2025-08-28 08:50,0.54
1756371612,2025-08-28 09:00,0.54
1756372204,2025-08-28 09:10,0.54
1756372810,2025-08-28 09:20,0.54
1756373403,2025-08-28 09:30,0.545
1756374004,2025-08-28 09:40,0.54
1756374611,2025-08-28 09:50,0.54
1756375213,2025-08-28 10:00,0.54
1756375809,2025-08-28 10:10,0.48
1756376407,2025-08-28 10:20,0.54
1756377007,2025-08-28 10:30,0.54
1756377608,2025-08-28 10:40,0.435
1756378204,2025-08-28 10:50,0.43
1756378805,2025-08-28 11:00,0.165
1756379409,2025-08-28 11:10,0.2
1756380014,2025-08-28 11:20,0.205
1756380604,2025-08-28 11:30,0.18
1756381202,2025-08-28 11:40,0.16
1756381810,2025-08-28 11:50,0.16
1756382418,2025-08-28 12:00,0.175
1756383003,2025-08-28 12:10,0.155
1756383604,2025-08-28 12:20,0.1
1756384216,2025-08-28 12:30,0.13
1756384806,2025-08-28 12:40,0.13
1756385404,2025-08-28 12:50,0.13
1756386010,2025-08-28 13:00,0.125
1756386603,2025-08-28 13:10,0.125
1756387203,2025-08-28 13:20,0.12
1756387814,2025-08-28 13:30,0.13
1756388404,2025-08-28 13:40,0.13
1756389003,2025-08-28 13:50,0.12
1756389615,2025-08-28 14:00,0.12
1756390214,2025-08-28 14:10,0.12
1756390804,2025-08-28 14:20,0.12
1756391417,2025-08-28 14:30,0.115
1756392005,2025-08-28 14:40,0.11
1756392611,2025-08-28 14:50,0.11
1756393214,2025-08-28 15:00,0.115
1756393811,2025-08-28 15:10,0.165
1756394404,2025-08-28 15:20,0.165
1756395005,2025-08-28 15:30,0.155
1756395603,2025-08-28 15:40,0.14
1756396212,2025-08-28 15:50,0.14
1756396817,2025-08-28 16:00,0.14
1756397404,2025-08-28 16:10,0.13
1756398018,2025-08-28 16:20,0.12
1756398607,2025-08-28 16:30,0.12
1756399202,2025-08-28 16:40,0.11
1756399808,2025-08-28 16:50,0.11
1756400415,2025-08-28 17:00,0.095
1756401014,2025-08-28 17:10,0.09
1756401607,2025-08-28 17:20,0.09
1756402206,2025-08-28 17:30,0.085
1756402812,2025-08-28 17:40,0.09
1756403414,2025-08-28 17:50,0.09
1756404013,2025-08-28 18:00,0.175
1756404604,2025-08-28 18:10,0.165
1756405203,2025-08-28 18:20,0.165
1756405804,2025-08-28 18:30,0.155
1756406402,2025-08-28 18:40,0.155
1756407005,2025-08-28 18:50,0.155
1756407608,2025-08-28 19:00,0.155
1756408220,2025-08-28 19:10,0.155
1756408804,2025-08-28 19:20,0.145
1756409403,2025-08-28 19:30,0.135
1756410002,2025-08-28 19:40,0.135
1756410618,2025-08-28 19:50,0.13
1756411216,2025-08-28 20:00,0.125
1756411812,2025-08-28 20:10,0.125
1756412406,2025-08-28 20:20,0.125
1756413012,2025-08-28 20:30,0.17
1756413614,2025-08-28 20:40,0.17
1756414202,2025-08-28 20:50,0.16
1756414817,2025-08-28 21:00,0.17
1756415417,2025-08-28 21:10,0.17
1756416016,2025-08-28 21:20,0.175
1756416604,2025-08-28 21:30,0.175
1756417205,2025-08-28 21:40,0.175
1756417806,2025-08-28 21:50,0.175
1756418420,2025-08-28 22:00,0.175
1756419004,2025-08-28 22:10,0.165
1756419603,2025-08-28 22:20,0.165
1756420204,2025-08-28 22:30,0.165
1756420817,2025-08-28 22:40,0.165
1756421406,2025-08-28 22:50,0.16
1756422017,2025-08-28 23:00,0.165
1756422602,2025-08-28 23:10,0.165
1756423203,2025-08-28 23:20,0.165
1756423803,2025-08-28 23:30,0.165
1756424403,2025-08-28 23:40,0.005
1756425003,2025-08-28 23:50,0.0005
1756425615,2025-08-29 00:00,0.0005
1756426212,2025-08-29 00:10,0.0005
1756426806,2025-08-29 00:20,0.0005
1756427409,2025-08-29 00:30,0.0005
1756428014,2025-08-29 00:40,0.0005
1756428606,2025-08-29 00:50,0.0005
1756429208,2025-08-29 01:00,0.0005
1756429810,2025-08-29 01:10,0.0005
1756430410,2025-08-29 01:20,0.0005
1756431008,2025-08-29 01:30,0.0005
